Nome comercial,Princípio ativo,Classe,Indicações principais,Posologia,Via administração,Carência,Contraindicações,Reações adversas,Mecanismo de ação,Precauções
Draxxin,Tulatromicina,Antibiótico macrolídeo (triamilídeo),"Pleuropneumonia, micoplasmose, pasteurelose, doença respiratória suína","2,5 mg/kg (1 mL/40 kg), dose única",Intramuscular cervical,5 dias,Hipersensibilidade a macrolídeos; evitar associação com macrolídeos/lincosamidas,"Dor e edema local, inquietação, vocalização, claudicação",Liga-se ao ribossomo 50S → inibe síntese proteica bacteriana,Monitorar resposta em 48h; evitar superdosagem
Resolutor,Marbofloxacina,Antimicrobiano (fluoroquinolona),"Pneumonia enzoótica, Glässer, colibacilose, salmonelose, erisipela, meningite estreptocócica",1 mL/25 kg,Intramuscular,4 dias,Completar,Completar,Inibição DNA girase bacteriana,Uso racional para evitar resistência
Solucef PPU,Ceftiofur,Antibiótico cefalosporina,"Pasteurella multocida, Salmonella choleraesuis, Streptococcus suis","0,6–1 mL/10 kg por 3 dias",Intramuscular cervical,2 dias,Completar,Completar,Inibição síntese parede bacteriana,Máximo 10 mL/ponto
Roflin,Florfenicol,Antimicrobiano (fenicol),"Pneumonias, pododermatites, metrites","1 mL/20 kg (2 doses, intervalo 48h)",Intramuscular,8 dias,Hipersensibilidade; doença hepática; reprodução,"Redução consumo alimento, diarreia leve",Liga ribossomo 50S,Segurança não estabelecida <90 dias
Agroplus,Ampicilina + Colistina + Dexametasona,Antibiótico + anti-inflamatório,"Infecções respiratórias, gastrointestinais, geniturinárias, articulares e cutâneas",1 mL/10 kg,Completar,Completar,Completar,Completar,Ampicilina: parede celular; Colistina: membrana bacteriana,Uso veterinário supervisionado
Dornil,Dipirona sódica,"Analgésico, antipirético, antiespasmódico","Dor muscular, articular, visceral, cólicas, febre",Completar,IM profunda / IV lenta,24h,Completar,Completar,Inibição prostaglandinas,Cautela em animais debilitados
Pulmodrazin Plus,Benzilpenicilina Procaína + Diidroestreptomicina + Piroxicam,Antimicrobiano + anti-inflamatório,Completar,Completar,Completar,45 dias,Completar,Completar,Completar,Completar
Trissulfin,—,—,—,—,—,—,—,—,—,—
Pangram,—,—,—,—,—,—,—,—,—,—
Kinetomax,—,—,—,—,—,—,—,—,—,—
Lactofur,—,—,—,—,—,—,—,—,—,—
Ourotreta Plus,—,—,—,—,—,—,—,—,—,—
Jofatox,—,—,—,—,—,—,—,—,—,—
Biofen,—,—,—,—,—,—,—,—,—,—
Dexaflan,—,—,—,—,—,—,—,—,—,—
Dectomax,—,—,—,—,—,—,—,—,—,—
Flunixina,—,—,—,—,—,—,—,—,—,—
Hepavet,—,—,—,—,—,—,—,—,—,—
Estrogin,—,—,—,—,—,—,—,—,—,—
Flusure Pandemic,—,Vacina,Influenza suína,Conforme bula,Intramuscular,Conforme bula,Completar,Completar,Imunização ativa,Respeitar protocolo vacinal
Fostera Gold,—,Vacina,Circovirose + Micoplasma,Conforme bula,Intramuscular,Conforme bula,Completar,Completar,Imunização ativa,Respeitar cronograma vacinal
Flunixina,,,,,,,,,,
Hepavet,,,,,,,,,,
Perical B12 R,,,,,,,,,,
Ripercol L,,,,,,,,,,
Estrogin,,,,,,,,,,
Fenilbutazona Syntec,,,,,,,,,,
Agrosil 5 mega,,,,,,,,,,
Analgex V,,,,,,,,,,
Flucortan,,,,,,,,,,
Pencivet Plus PPU,,,,,,,,,,
Pradotectum,,,,,,,,,,
Flusure Pandemic,,,,,,,,,,
Fostera Gold,,,,,,,,,,
Vivax,,,,,,,,,,
Ourotreta Premium,,,,,,,,,,
Turbovit,,,,,,,,,,
Zelotril,,,,,,,,,,
Zoovit,,,,,,,,,,
Lectron,,,,,,,,,,
Dexaforce,,,,,,,,,,
Fosfosal,,,,,,,,,,
Maxflor,,,,,,,,,,
Shotapen,,,,,,,,,,
Suigen,,,,,,,,,,
Tulissin,,,,,,,,,,
Enrofloxacina Fabiani,,,,,,,,,,
Isacort,,,,,,,,,,
Cortvet,,,,,,,,,,
Fenilvet,,,,,,,,,,
Xilazin,,,,,,,,,,
Calfoz,,,,,,,,,,
Lidovet,,,,,,,,,,
Zoletil,,,,,,,,,,
Anestesico Bravet,,,,,,,,,,
Dornil,Dipirona sodica,"Analgesico, antipiretico e antiespasmodico.","Analgesico com açao antipiretica e espasmolitica para alivio de dores musculares, osseas, articulares, viscerais, nas colicas e estados febris.",,Intramuscular profunda ou endovenosa lenta.,Abate: 24 horas,,,,
Agemoxi,,,,,,,,,,
Flunixin,,,,,,,,,,
Minoxel Plus,,,,,,,,,,
Penfort PPU,,,,,,,,,,
Finador,,,,,,,,,,
Cursotrat,,,,,,,,,,
Dopalen,,,,,,,,,,
Gentatec,,,,,,,,,,
Chemitril,,,,,,,,,,
Dexium,,,,,,,,,,
Diuzon,,,,,,,,,,
Zalix,,,,,,,,,,
Roflin,,,,,,,,,,
Diclofenaco,,,,,,,,,,
Pangram,,,,,,,,,,
Enro Flec 10%,,,,,,,,,,
Tylan 200,,,,,,,,,,
Fortlozin,,,,,,,,,,
Agrovet Plus,,,,,,,,,,
Prolise,,,,,,,,,,
Microflud CEFT,,,,,,,,,,
Pulmodrazin Plus,Benzilpenicilina Procaína + Diidroestreptomicina + Piroxicam,Antimicrobiano,,,,,,,,
,,,,,,Abate: 45 dias,,,,
