SINTOMA,DOENÇAS ASSOCIADAS
Abortos,"Brucelose, Leptospirose, Parvovirose suína, Toxoplasmose"
Infertilidade,Brucelose
Retenção de placenta,Brucelose
Nascimento de leitões fracos,"Brucelose, Toxoplasmose"
Natimortos,Leptospirose
Diarreia aquosa,Colibacilose pós-desmame
Diarreia com sangue e muco,Disenteria suína
Diarreia (às vezes com sangue),"Salmonelose, Ileíte"
Diarreia intensa em leitões,Rotavirose suína
Desidratação,"Colibacilose, Salmonelose, Rotavirose, Coccidiose, Disenteria suína"
Perda de peso,"Disenteria suína, Ileíte"
Perda de peso rápida,Colibacilose pós-desmame
Emagrecimento progressivo,"Tuberculose, Circovirose"
Crescimento lento,"Ileíte, Pneumonia Enzoótica Suína, Endocardite, Coccidiose"
Crescimento prejudicado,Rinite atrófica
Baixo ganho de peso,Pneumonia Enzoótica Suína
Apatia,"Salmonelose, Peste Suína Clássica, Septicemia, Colibacilose"
Letargia,"Colibacilose, Salmonelose, Circovirose, Rotavirose, Leptospirose, Pleuropneumonia"
Perda de apetite,"Brucelose, Leptospirose, Salmonelose, Circovirose, Peste Suína Clássica, Febre Aftosa"
Febre,"Salmonelose, Leptospirose, Pneumonia bacteriana secundária, Doença de Glässer"
Febre alta,"Pleuropneumonia, Septicemia, Peste Suína Clássica"
Icterícia,Leptospirose
Tremores,"Meningite estreptocócica, Doença de Aujeszky"
Convulsões,"Meningite estreptocócica, Meningite, Doença de Aujeszky"
Falta de coordenação,Meningite estreptocócica
Desorientação,"Meningite estreptocócica, Doença de Aujeszky, Meningite"
Rigidez muscular,"Meningite estreptocócica, Meningite"
Sintomas nervosos,"Doença de Aujeszky, Meningite"
Morte súbita,"Septicemia, Pleuropneumonia, Meningite, Ileíte"
Dificuldade respiratória,Doença de Glässer
Dificuldade respiratória grave,Pleuropneumonia
Respiração ofegante,"Pleuropneumonia, Pneumonia Enzoótica, Pneumonia bacteriana secundária"
Tosse,"Pleuropneumonia, Pneumonia bacteriana secundária"
Tosse crônica,Pneumonia Enzoótica Suína
Espirros,Rinite atrófica
Secreção nasal,"Rinite atrófica, Pneumonia bacteriana secundária"
Secreção ocular,"Rinite atrófica, Pneumonia bacteriana secundária"
Vômito,Salmonelose
Claudicação,"Doença de Glässer, Artrite, Febre Aftosa"
Inchaço nas articulações,Artrite
Articulações inchadas,"Artrite, Doença de Glässer"
Dor ao andar,Artrite
Inflamação nas articulações,Doença de Glässer
Lesões na pele,"Sarna, Febre Aftosa"
Coceira intensa,Sarna
Palidez,Circovirose
Aumento de linfonodos,Circovirose
Problemas reprodutivos,Parvovirose suína
Fetos mumificados,Parvovirose suína
Retorno ao cio,Parvovirose suína
Hemorragias na pele,Peste Suína Clássica
Hemorragia,Disenteria Suína
Extremidades arroxeadas,Septicemia
Vesículas na boca e patas,Febre Aftosa
Salivação intensa,Febre Aftosa
Fraqueza,"Tuberculose, Rotavirose"
Ausência de sinais evidentes,"Tuberculose, Cisticercose, Endocardite"
Inquietação,Sarna
