Cadastro de Doenças,,,,,
TIPO,ID,DOENÇA PADRONIZADA,AGENTE ETIOLÓGICO,SINTOMAS PADRONIZADOS,FASE COMUM
Bacteriana,0,Brucelose,Brucella suis,Abortos; Infertilidade; Retenção de placenta; Leitões fracos ao nascimento; Perda de apetite,Reprodutores (adultos)
Bacteriana,1,Colibacilose pós-desmame,"Escherichia coli (ETEC, EPEC, STEC)",Diarreia aquosa; Desidratação; Perda de peso; Apatia; Letargia; Perda de apetite; Diarreia,Creche (pós-desmame)
Bacteriana,2,Disenteria suína,Brachyspira hyodysenteriae,Diarreia muco-hemorrágica; Fezes escuras; Hemorragia; Perda de peso; Desidratação; Letargia; Diarreia,Crescimento e terminação
Bacteriana,3,Ileíte,Lawsonia intracellularis,Diarreia hemorrágica; Retardo de crescimento; Perda de peso; Letargia; Morte súbita,Crescimento e terminação
Bacteriana,4,Leptospirose,Leptospira interrogans (diversos sorovares),Abortos; Natimortos; Febre; Icterícia; Perda de apetite; Letargia; Falhas reprodutivas,Reprodutores (adultos)
Bacteriana,5,Meningite estreptocócica,Streptococcus suis,Tremores musculares; Convulsões; Ataxia; Desorientação; Rigidez muscular; Morte súbita,Creche
Bacteriana,6,Salmonelose,Salmonella enterica (principalmente sorovar Typhimurium e Choleraesuis),Diarreia hemorrágica; Febre; Apatia; Desidratação; Vômito; Perda de apetite; Letargia; Pneumonia; Diarreia,Crescimento e terminação
Bacteriana,7,Tuberculose,Mycobacterium bovis e Mycobacterium avium complex,Emagrecimento; Fraqueza; Assintomático,Terminação (adultos)
Bacteriana,8,Pleuropneumonia,Actinobacillus pleuropneumoniae,Dispneia; Tosse; Febre alta; Letargia; Morte súbita; Pneumonia; Epistaxe,Crescimento e terminação
Bacteriana,9,Pneumonia bacteriana secundária,"Pasteurella multocida, Trueperella pyogenes, Streptococcus suis e outras bactérias oportunistas",Tosse; Dispneia; Febre; Secreção nasal; Secreção ocular; Letargia; Baixo desempenho,Crescimento
Bacteriana,10,Rinite atrófica,Bordetella bronchiseptica e Pasteurella multocida toxigênica,Espirros; Secreção nasal; Secreção ocular; Deformação do focinho; Retardo de crescimento; Rinite,Maternidade e creche
Bacteriana,11,Pneumonia enzoótica suína,Mycoplasma hyopneumoniae,Tosse crônica; Dispneia; Retardo de crescimento; Letargia; Pneumonia; Sinais respiratórios,Crescimento e terminação
Infecciosas,12,Doença de Glässer,Glaesserella parasuis (antigo Haemophilus parasuis),Febre; Dispneia; Claudicação; Artrite; Edema articular; Letargia,Creche
Infecciosas,13,Meningite,"Diversos agentes (Streptococcus suis, Glaesserella parasuis, Escherichia coli, entre outros)",Convulsões; Desorientação; Rigidez muscular; Sinais neurológicos; Morte súbita,Creche
